task_id,description,arrival_time,deadline
evaltask_000056,Handle missing observations in the social media comments dataset to prepare it for complaint category modelling.,49717,50509
evaltask_000057,Have a proper look at the social media comments dataset and tell me what's going on.,50835,51746
evaltask_000058,Finalise the feature set to be used by the fine-tuned transformer model.,52169,53385
evaltask_000059,Set up the training pipeline for the fine-tuned transformer model.,52274,54205
evaltask_000060,Assess the fine-tuned transformer model on complaint category without relying on accuracy as the headline metric.,53026,54354
evaltask_000061,"The fine-tuned transformer model isn't picking anything up, have a go at it.",53423,54295
evaltask_000062,Produce a confusion matrix summarising fine-tuned transformer model performance on complaint category.,53892,55061
evaltask_000063,Fit the fine-tuned transformer model on the social media comments dataset without using the topic distribution column.,54115,56644
evaltask_000064,Check whether the fine-tuned transformer model is actually any good on complaint category.,55176,56187
evaltask_000065,Prepare slides presenting the fine-tuned transformer model performance to stakeholders.,55982,56286
evaltask_000066,"Restart the social media comments dataset pipeline, then verify the overnight load completed correctly.",58581,59232
evaltask_000067,Collect raw data for the shipment tracking dataset from the source system.,73556,74146
evaltask_000068,Standardise column formats across the shipment tracking dataset.,73695,75522
evaltask_000069,Investigating class imbalance in route efficiency within the shipment tracking dataset.,74398,74877
evaltask_000070,Build features for the mixed-integer optimisation model without using information unavailable at prediction time.,74958,75556
evaltask_000071,Run cross-validation while training the mixed-integer optimisation model on the shipment tracking dataset.,75162,76099
evaltask_000072,"First reproduce the reported mixed-integer optimisation model metrics, then investigate the drop in recall.",75318,76365
evaltask_000073,Draft release notes describing changes to the mixed-integer optimisation model pipeline.,76318,78329
evaltask_000074,"Restart the shipment tracking dataset pipeline, then verify the overnight load completed correctly.",84303,85513
evaltask_000075,Resolve the freshness issue in the shipment tracking dataset without changing the ingestion schedule.,92372,93381
evaltask_000076,Rebuild the patient records dataset without re-scraping the external sources.,59594,60434
evaltask_000077,Half the rows in the patient records dataset don't look right.,60016,60616
evaltask_000078,Investigating class imbalance in 30-day readmission within the patient records dataset.,61320,62023
evaltask_000079,The inputs to the gradient boosting model need rethinking.,61987,63237
evaltask_000080,"Rebuild the training pipeline, then retrain the gradient boosting model on the updated patient records dataset.",62085,63292
evaltask_000081,Validate the gradient boosting model without touching the held-out test split.,63296,65214
evaltask_000082,Write a summary report describing the gradient boosting model results for 30-day readmission.,63565,64432
evaltask_000083,Update pipeline dependencies feeding the patient records dataset.,69690,69988
evaltask_000084,Update pipeline dependencies feeding the patient records dataset.,73118,73910
evaltask_000085,Resolve the freshness issue in the patient records dataset without changing the ingestion schedule.,72082,72610
evaltask_000086,Rebuild the equipment logs dataset without re-scraping the external sources.,6587,7577
evaltask_000087,Remove duplicate records from the equipment logs dataset.,7820,8347
evaltask_000088,Explore the distribution of sensor drift in the equipment logs dataset.,7888,9644
evaltask_000089,Build aggregated features summarising sensor drift at the project level.,8252,8911
evaltask_000090,Fit the gradient boosting model on the prepared equipment logs dataset.,9198,10865
evaltask_000091,"First reproduce the reported gradient boosting model metrics, then investigate the drop in recall.",10358,12049
evaltask_000092,Document the gradient boosting model limitations without disclosing the underlying equipment logs dataset schema.,10837,12428
evaltask_000093,"Check the pipeline logs, then patch the schema change that broke the equipment logs dataset ingestion.",23537,24388
evaltask_000094,Resolve the freshness issue in the equipment logs dataset without changing the ingestion schedule.,17917,18692
evaltask_000095,Download and consolidate external data sources for the shipment tracking dataset.,15829,17007
evaltask_000096,Standardise column formats across the shipment tracking dataset.,16777,17535
evaltask_000097,Investigating class imbalance in delivery delay within the shipment tracking dataset.,17865,18394
evaltask_000098,Build features for the random forest regressor without using information unavailable at prediction time.,18071,19438
evaltask_000099,"The random forest regressor isn't picking anything up, have a go at it.",18720,19504
evaltask_000100,"Not convinced by the random forest regressor numbers, look into them.",18990,19988
evaltask_000101,Compare training time and convergence of the random forest regressor on the shipment tracking dataset.,20203,20856
evaltask_000102,Stress-test the random forest regressor against edge cases in the shipment tracking dataset.,20280,21261
evaltask_000103,"Rebuild the training pipeline, then retrain the random forest regressor on the updated shipment tracking dataset.",21228,22025
evaltask_000104,Investigate a drop in random forest regressor recall after the last shipment tracking dataset update.,22258,22831
evaltask_000105,"Update the README with the new shipment tracking dataset schema, then draft the random forest regressor release notes.",22837,24480
evaltask_000106,Patch a schema change that broke the shipment tracking dataset pipeline.,23042,23951
evaltask_000107,Add monitoring for a recurring failure in the shipment tracking dataset pipeline.,20822,21375
evaltask_000108,"Restart the shipment tracking dataset pipeline, then verify the overnight load completed correctly.",33821,34225
evaltask_000109,Download and consolidate external data sources for the product review dataset.,49817,50414
evaltask_000110,Clean the product review dataset for review sentiment modelling without altering the original source files.,49922,51721
evaltask_000111,Have a proper look at the product review dataset and tell me what's going on.,51269,52193
evaltask_000112,Build features for the LSTM classifier without using information unavailable at prediction time.,51379,52483
evaltask_000113,Set up the training pipeline for the LSTM classifier.,52589,54314
evaltask_000114,Evaluate the LSTM classifier on a held-out split of the product review dataset.,52931,54358
evaltask_000115,Nobody knows how the LSTM classifier works — fix that.,53169,53661
evaltask_000116,Resolve the freshness issue in the product review dataset without changing the ingestion schedule.,52758,53949
evaltask_000117,The product review dataset ingestion job fell over again last night.,52204,53466
evaltask_000118,Collect raw data for the credit bureau dataset from the source system.,38678,40276
evaltask_000119,Investigate and correct inconsistent entries in the credit bureau dataset.,39901,40922
evaltask_000120,Compare repayment history distributions across different segments of the credit bureau dataset.,41202,43069
evaltask_000121,Normalise and scale repayment history ahead of model training.,41930,42553
evaltask_000122,Give the scorecard model another run with the latest credit bureau dataset.,42008,44087
evaltask_000123,Validate the scorecard model without touching the held-out test split.,43097,43767
evaltask_000124,Put together whatever we have on the credit bureau dataset for the handover.,43403,44266
evaltask_000125,Restart and verify the credit bureau dataset pipeline after a maintenance window.,55584,56023
evaltask_000126,Rebuild the network traffic dataset without re-scraping the external sources.,36845,37282
evaltask_000127,Detect and treat outliers in byte rate within the network traffic dataset.,38043,38767
evaltask_000128,Investigating class imbalance in anomaly score within the network traffic dataset.,39139,40041
evaltask_000129,Build features for the gradient boosting model without using information unavailable at prediction time.,39209,40293
evaltask_000130,Fit the gradient boosting model on the network traffic dataset without using the byte rate column.,39844,41266
evaltask_000131,Stress-test the gradient boosting model against edge cases in the network traffic dataset.,40979,42159
evaltask_000132,Get a first anomaly score baseline without tuning the gradient boosting model at all.,41188,42843
evaltask_000133,"Score the gradient boosting model on the held-out split, then run an error analysis on the failures.",41669,42346
evaltask_000134,"Rebuild the training pipeline, then retrain the gradient boosting model on the updated network traffic dataset.",41882,44232
evaltask_000135,"Compute precision, recall and F1 for anomaly score predictions.",42512,42930
evaltask_000136,"Draft the anomaly score findings first, then turn them into slides for stakeholders.",43676,45350
evaltask_000137,"Restart the network traffic dataset pipeline, then verify the overnight load completed correctly.",49714,50588
evaltask_000138,Pull the latest records and afterwards check the subscription churn dataset covers the full time range.,4091,4508
evaltask_000139,Investigate and correct inconsistent entries in the subscription churn dataset.,4891,5782
evaltask_000140,Investigating class imbalance in subscription cancellation within the subscription churn dataset.,4948,7065
evaltask_000141,Compare training time and convergence of the random forest classifier on the subscription churn dataset.,5355,5945
evaltask_000142,"Not convinced by the random forest classifier numbers, look into them.",6753,7680
evaltask_000143,Compare training time and convergence of the random forest classifier on the subscription churn dataset.,8128,8955
evaltask_000144,Run an error analysis on the random forest classifier predictions for subscription cancellation.,8801,9711
evaltask_000145,Finalise documentation before closing out the subscription cancellation project.,9511,10918
evaltask_000146,Resolve a data freshness issue affecting the subscription churn dataset.,4002,4624
evaltask_000147,"The subscription churn dataset numbers look stale, find out why.",8251,10201
evaltask_000148,We're short on records for the sensor telemetry dataset — sort it out.,34594,36499
evaltask_000149,Filter out the corrupted rows and afterwards impute what's missing in operating hours.,35961,37046
evaltask_000150,Segment the sensor telemetry dataset first and afterwards compare operating hours across the segments.,36477,39069
evaltask_000151,"First scale operating hours, then check whether the random forest classifier still needs the interaction terms.",37560,39351
evaltask_000152,"Rebuild the training pipeline, then retrain the random forest classifier on the updated sensor telemetry dataset.",37732,38066
evaltask_000153,Compare the random forest classifier against a previous version on the sensor telemetry dataset.,38377,40517
evaltask_000154,Nobody knows how the random forest classifier works — fix that.,38592,40320
evaltask_000155,Resolve the freshness issue in the sensor telemetry dataset without changing the ingestion schedule.,41300,42556
evaltask_000156,Merge multiple data extracts into a single news articles dataset.,54127,54746
evaltask_000157,Investigate and correct inconsistent entries in the news articles dataset.,54286,56593
evaltask_000158,"Profile the news articles dataset first, then investigate how topic coherence relates to summary quality.",55669,56639
evaltask_000159,Finalise the feature set to be used by the fine-tuned summarisation model.,55869,56677
evaltask_000160,Get a first summary quality baseline without tuning the fine-tuned summarisation model at all.,56171,57977
evaltask_000161,The fine-tuned summarisation model was fine last month and now it isn't.,56973,58109
evaltask_000162,Write up the summary quality results without waiting for the final fine-tuned summarisation model run.,58329,58911
evaltask_000163,Extract records for the smart meter dataset without pulling any personally identifiable fields.,55864,57830
evaltask_000164,"The smart meter dataset looks messy again, deal with it.",56842,57632
evaltask_000165,"There's something odd in the smart meter dataset, can't put my finger on it.",57509,59667
evaltask_000166,"Whatever we did last time to the LSTM forecasting model, do it again with the new data.",58534,59493
evaltask_000167,Compare the LSTM forecasting model against the previous version without retraining either of them.,59638,60005
evaltask_000168,"Rebuild the training pipeline, then retrain the LSTM forecasting model on the updated smart meter dataset.",60976,61684
evaltask_000169,Produce a confusion matrix summarising LSTM forecasting model performance on hourly energy consumption.,61111,62864
evaltask_000170,Document known limitations of the current LSTM forecasting model.,61866,62761
evaltask_000171,Restart and verify the smart meter dataset pipeline after a maintenance window.,70175,71321
evaltask_000172,"Check the pipeline logs, then patch the schema change that broke the smart meter dataset ingestion.",74851,75612
evaltask_000173,Rebuild the purchase history dataset without re-scraping the external sources.,12186,13354
evaltask_000174,Investigate and correct inconsistent entries in the purchase history dataset.,12546,13225
evaltask_000175,Segment the purchase history dataset first and afterwards compare user embeddings across the segments.,13359,15953
evaltask_000176,"Whatever we did last time to the matrix factorisation model, do it again with the new data.",14728,16977
evaltask_000177,Assessing whether the matrix factorisation model meets the required performance threshold.,15032,17095
evaltask_000178,Put together whatever we have on the purchase history dataset for the handover.,15467,16062
evaltask_000179,Add monitoring for a recurring failure in the purchase history dataset pipeline.,30202,30936
evaltask_000180,Monitor data quality alerts for the purchase history dataset pipeline.,21189,21905
evaltask_000181,Restore the purchase history dataset pipeline without triggering a full historical backfill.,20668,21228
evaltask_000182,Rebuild the equipment logs dataset without re-scraping the external sources.,77086,77688
evaltask_000183,Filter out invalid or corrupted rows from the equipment logs dataset.,78513,78992
evaltask_000184,Have a proper look at the equipment logs dataset and tell me what's going on.,79901,81286
evaltask_000185,Fit the random forest classifier on the equipment logs dataset without using the sensor drift column.,81120,83333
evaltask_000186,Check the random forest classifier for fairness across segments of the equipment logs dataset.,81434,83769
evaltask_000187,They want something on remaining useful life for tomorrow.,81859,84313
evaltask_000188,Reviewing pipeline logs after an unexpected failure.,79805,80288
evaltask_000189,"Check the pipeline logs, then patch the schema change that broke the equipment logs dataset ingestion.",77529,78759
evaltask_000190,We're short on records for the smart meter dataset — sort it out.,30354,32233
evaltask_000191,Impute missing values for weather data using an appropriate strategy.,30615,31141
evaltask_000192,Segment the smart meter dataset first and afterwards compare weather data across the segments.,30661,31594
evaltask_000193,"Whatever we did last time to the prophet model, do it again with the new data.",31985,33224
evaltask_000194,Evaluate the prophet model on a held-out split of the smart meter dataset.,32544,33568
evaltask_000195,Training a prophet model from scratch on the updated smart meter dataset.,32596,33741
evaltask_000196,Check whether the prophet model is actually any good on hourly energy consumption.,33074,33929
evaltask_000197,Nobody knows how the prophet model works — fix that.,34509,36523
evaltask_000198,Patch a schema change that broke the smart meter dataset pipeline.,47418,49548
evaltask_000199,The smart meter dataset ingestion job fell over again last night.,48787,49346
evaltask_000200,Patch a schema change that broke the smart meter dataset pipeline.,44688,45673
evaltask_000201,Download and consolidate external data sources for the workforce analytics dataset.,4809,5856
evaltask_000202,Clean the workforce analytics dataset for employee attrition modelling without altering the original source files.,5325,5994
evaltask_000203,Build features for the gradient boosting model without using information unavailable at prediction time.,5932,6597
evaltask_000204,"First fit the gradient boosting model on a sample, then run the full training on the workforce analytics dataset.",7101,7855
evaltask_000205,Stress-test the gradient boosting model against edge cases in the workforce analytics dataset.,8041,10041
evaltask_000206,"Rebuild the training pipeline, then retrain the gradient boosting model on the updated workforce analytics dataset.",8640,9413
evaltask_000207,"First reproduce the reported gradient boosting model metrics, then investigate the drop in recall.",8958,10934
evaltask_000208,Draft release notes describing changes to the gradient boosting model pipeline.,10097,11934
evaltask_000209,"Check the pipeline logs, then patch the schema change that broke the workforce analytics dataset ingestion.",19301,20708
evaltask_000210,Monitor data quality alerts for the workforce analytics dataset pipeline.,18099,19173
evaltask_000211,Fix the failing workforce analytics dataset job without taking the pipeline offline.,9082,10134
evaltask_000212,Download and consolidate external data sources for the employee survey dataset.,73371,74810
evaltask_000213,Something's wrong with compensation band in the employee survey dataset.,73801,74371
evaltask_000214,Not sure what's driving resignation risk — dig into it.,75121,75980
evaltask_000215,Build features for the survival analysis model without using information unavailable at prediction time.,75337,75994
evaltask_000216,Compare training time and convergence of the survival analysis model on the employee survey dataset.,75475,76169
evaltask_000217,"Score the survival analysis model on the held-out split, then run an error analysis on the failures.",76372,77621
evaltask_000218,Compare training time and convergence of the survival analysis model on the employee survey dataset.,77571,78245
evaltask_000219,Validate the survival analysis model without touching the held-out test split.,78701,79262
evaltask_000220,"First collect the survival analysis model results, then prepare a one-page summary for management.",79724,81385
evaltask_000221,"Restart the employee survey dataset pipeline, then verify the overnight load completed correctly.",77873,80039
evaltask_000222,Resolve the freshness issue in the employee survey dataset without changing the ingestion schedule.,72483,72863
evaltask_000223,The employee survey dataset pipeline has been flaky all week.,77448,78498
evaltask_000224,Download and consolidate external data sources for the smart meter dataset.,68191,69927
evaltask_000225,"The smart meter dataset looks messy again, deal with it.",68468,70302
evaltask_000226,Analyse correlations between occupancy patterns and energy anomalies in the smart meter dataset.,68958,69904
evaltask_000227,Build features for the LSTM forecasting model without using information unavailable at prediction time.,70071,71500
evaltask_000228,"Whatever we did last time to the LSTM forecasting model, do it again with the new data.",70179,71756
evaltask_000229,"First reproduce the reported LSTM forecasting model metrics, then investigate the drop in recall.",70355,71185
evaltask_000230,Write a summary report describing the LSTM forecasting model results for energy anomalies.,71735,72502
evaltask_000231,Reviewing pipeline logs after an unexpected failure.,79100,79779
evaltask_000232,Update pipeline dependencies feeding the smart meter dataset.,75821,77727
evaltask_000233,Gather the missing records for the smart meter dataset without hitting production directly.,28819,30466
evaltask_000234,Standardise column formats across the smart meter dataset.,29321,30307
evaltask_000235,"Compute summary statistics for the smart meter dataset, then visualise how hourly energy consumption moves over time.",30364,30802
evaltask_000236,Build features for the prophet model without using information unavailable at prediction time.,30583,32261
evaltask_000237,Set up cross-validation and then fit the prophet model on the prepared smart meter dataset.,31131,32433
evaltask_000238,The prophet model was fine last month and now it isn't.,32093,34086
evaltask_000239,Training a prophet model from scratch on the updated smart meter dataset.,33250,33770
evaltask_000240,Stress-test the prophet model against edge cases in the smart meter dataset.,33978,35313
evaltask_000241,Train a prophet model to predict hourly energy consumption using the smart meter dataset.,35159,36471
evaltask_000242,"First reproduce the reported prophet model metrics, then investigate the drop in recall.",36234,38504
evaltask_000243,Put together whatever we have on the smart meter dataset for the handover.,36483,37746
evaltask_000244,Extract records for the hospital admissions dataset without pulling any personally identifiable fields.,22549,23661
evaltask_000245,Impute missing values for lab results using an appropriate strategy.,22983,24258
evaltask_000246,Have a proper look at the hospital admissions dataset and tell me what's going on.,23009,23957
evaltask_000247,"lab results on its own isn't telling us much, work on it.",23045,23586
evaltask_000248,Establishing a baseline gradient boosting model for length of stay prediction.,24237,26290
evaltask_000249,"Not convinced by the gradient boosting model numbers, look into them.",25528,27102
evaltask_000250,"Draft the length of stay findings first, then turn them into slides for stakeholders.",25731,26860
evaltask_000251,Restart and verify the hospital admissions dataset pipeline after a maintenance window.,32886,33398
evaltask_000252,The hospital admissions dataset pipeline has been flaky all week.,41149,42589
evaltask_000253,Restore the hospital admissions dataset pipeline without triggering a full historical backfill.,26543,27835
evaltask_000254,Requesting access to a new data source needed for the employee survey dataset.,20327,21026
evaltask_000255,Filter out the corrupted rows and afterwards impute what's missing in performance rating.,21342,23576
evaltask_000256,Segment the employee survey dataset first and afterwards compare performance rating across the segments.,22411,24221
evaltask_000257,"performance rating on its own isn't telling us much, work on it.",22978,23815
evaltask_000258,Set up the training pipeline for the logistic regression model.,24220,25175
evaltask_000259,Compare the logistic regression model against a previous version on the employee survey dataset.,24708,25469
evaltask_000260,Set up cross-validation and then fit the logistic regression model on the prepared employee survey dataset.,25817,26667
evaltask_000261,"First reproduce the reported logistic regression model metrics, then investigate the drop in recall.",27142,27971
evaltask_000262,Document the data preparation steps applied to the employee survey dataset.,28407,29181
evaltask_000263,The employee survey dataset ingestion job fell over again last night.,20991,21768
evaltask_000264,Reviewing pipeline logs after an unexpected failure.,24002,24942
evaltask_000265,Pull the latest records and afterwards check the experiment exposure dataset covers the full time range.,43145,45367
evaltask_000266,"First fix the encoding issues in the experiment exposure dataset, then reconcile the mismatched identifiers.",44579,45732
evaltask_000267,Create lagged variables based on variance reduction covariate for the experiment exposure dataset.,44764,45521
evaltask_000268,"First fit the difference-in-differences model on a sample, then run the full training on the experiment exposure dataset.",45431,45959
evaltask_000269,Run an error analysis on the difference-in-differences model predictions for statistical significance.,46645,48430
evaltask_000270,Finalise documentation before closing out the statistical significance project.,47302,47772
evaltask_000271,The experiment exposure dataset ingestion job fell over again last night.,45322,45694
evaltask_000272,Patch a schema change that broke the experiment exposure dataset pipeline.,44383,45245
evaltask_000273,Requesting access to a new data source needed for the payments dataset.,44970,46337
evaltask_000274,Filter out the corrupted rows and afterwards impute what's missing in transaction amount.,46107,47783
evaltask_000275,Have a proper look at the payments dataset and tell me what's going on.,46739,47539
evaltask_000276,Build aggregated features summarising transaction amount at the project level.,47442,47897
evaltask_000277,Set up the training pipeline for the autoencoder model.,48003,48971
evaltask_000278,Validate the autoencoder model on out-of-time data before deployment.,49151,49492
evaltask_000279,Give the autoencoder model another run with the latest payments dataset.,49714,50577
evaltask_000280,"Not convinced by the autoencoder model numbers, look into them.",49976,50762
evaltask_000281,Retrain the autoencoder model on the payments dataset without changing the current hyperparameters.,50740,52039
evaltask_000282,Stress-test the autoencoder model against edge cases in the payments dataset.,52076,52744
evaltask_000283,Draft release notes describing changes to the autoencoder model pipeline.,53035,54229
evaltask_000284,"First add monitoring for the recurring failure, then refactor the payments dataset ingestion.",53439,53902
evaltask_000285,Restore the payments dataset pipeline without triggering a full historical backfill.,54198,54538
evaltask_000286,Check where the demand forecasting dataset is actually coming from.,39869,41773
evaltask_000287,Deduplicate the demand forecasting dataset and then standardise the promotional calendar column formats.,40782,42274
evaltask_000288,Improve signal for inventory requirements without adding features derived from promotional calendar.,40905,42237
evaltask_000289,Retrain the SARIMA model on the demand forecasting dataset without changing the current hyperparameters.,41032,42763
evaltask_000290,The SARIMA model was fine last month and now it isn't.,42414,42994
evaltask_000291,Write a summary report describing the SARIMA model results for inventory requirements.,43134,45657
evaltask_000292,Fix a broken scheduled job feeding the demand forecasting dataset.,49471,50729
evaltask_000293,Fix the failing demand forecasting dataset job without taking the pipeline offline.,42175,42862
evaltask_000294,Update pipeline dependencies feeding the demand forecasting dataset.,55261,55916
evaltask_000295,Rebuild the transaction dataset without re-scraping the external sources.,20498,22231
evaltask_000296,Filter out the corrupted rows and afterwards impute what's missing in transaction frequency.,21381,22170
evaltask_000297,Investigating class imbalance in fraudulent transactions within the transaction dataset.,22718,24620
evaltask_000298,"Rebuild the training pipeline, then retrain the autoencoder model on the updated transaction dataset.",23338,23808
evaltask_000299,"Not convinced by the autoencoder model numbers, look into them.",23873,24522
evaltask_000300,Set up cross-validation and then fit the autoencoder model on the prepared transaction dataset.,24984,25662
evaltask_000301,"Compute precision, recall and F1 for fraudulent transactions predictions.",25742,26755
evaltask_000302,Prepare slides presenting the autoencoder model performance to stakeholders.,25971,26577
evaltask_000303,"Restart the transaction dataset pipeline, then verify the overnight load completed correctly.",30477,30984
evaltask_000304,"First query the production database, then consolidate the extracts into the warehouse inventory dataset.",50390,51014
evaltask_000305,Investigate and correct inconsistent entries in the warehouse inventory dataset.,51686,53225
evaltask_000306,Have a proper look at the warehouse inventory dataset and tell me what's going on.,51904,54022
evaltask_000307,Create lagged variables based on warehouse capacity for the warehouse inventory dataset.,53131,54561
evaltask_000308,Compare training time and convergence of the mixed-integer optimisation model on the warehouse inventory dataset.,53410,55924
evaltask_000309,Compare the mixed-integer optimisation model against the previous version without retraining either of them.,54647,56750
evaltask_000310,Prepare slides presenting the mixed-integer optimisation model performance to stakeholders.,55390,56571
evaltask_000311,Fix the failing warehouse inventory dataset job without taking the pipeline offline.,65214,65578
evaltask_000312,We're short on records for the social media comments dataset — sort it out.,57134,58611
evaltask_000313,Detect and treat outliers in topic distribution within the social media comments dataset.,57153,58508
evaltask_000314,Summarise the social media comments dataset without producing any new visualisations.,58560,60489
evaltask_000315,Normalise and scale topic distribution ahead of model training.,59483,61265
evaltask_000316,"Whatever we did last time to the LSTM classifier, do it again with the new data.",59826,61027
evaltask_000317,Validate the LSTM classifier without touching the held-out test split.,60056,60610
evaltask_000318,Write a summary report describing the LSTM classifier results for customer satisfaction.,61261,62879
evaltask_000319,"Restart the social media comments dataset pipeline, then verify the overnight load completed correctly.",58636,59689
evaltask_000320,Restore the social media comments dataset pipeline without triggering a full historical backfill.,64653,65246
evaltask_000321,Rebuild the warehouse inventory dataset without re-scraping the external sources.,39730,41626
evaltask_000322,"First fix the encoding issues in the warehouse inventory dataset, then reconcile the mismatched identifiers.",40615,42457
evaltask_000323,Run a first exploratory pass over the warehouse inventory dataset to understand its structure.,41338,42488
evaltask_000324,Create lagged variables based on lead time for the warehouse inventory dataset.,42656,43128
evaltask_000325,Establishing a baseline gradient boosting regressor for route efficiency prediction.,43989,44895
evaltask_000326,Stress-test the gradient boosting regressor against edge cases in the warehouse inventory dataset.,44465,45072
evaltask_000327,"First collect the gradient boosting regressor results, then prepare a one-page summary for management.",45395,47031
evaltask_000328,"Restart the warehouse inventory dataset pipeline, then verify the overnight load completed correctly.",52761,54543
evaltask_000329,The warehouse inventory dataset pipeline has been flaky all week.,55903,57520
evaltask_000330,Collect raw data for the building energy dataset from the source system.,62996,65272
evaltask_000331,"First fix the encoding issues in the building energy dataset, then reconcile the mismatched identifiers.",64234,65759
evaltask_000332,"occupancy patterns on its own isn't telling us much, work on it.",65097,65746
evaltask_000333,"Rebuild the training pipeline, then retrain the gradient boosting regressor on the updated building energy dataset.",65128,66619
evaltask_000334,"First reproduce the reported gradient boosting regressor metrics, then investigate the drop in recall.",65489,66312
evaltask_000335,"Draft the energy anomalies findings first, then turn them into slides for stakeholders.",66862,67590
evaltask_000336,The building energy dataset ingestion job fell over again last night.,81149,82855
evaltask_000337,Fix a broken scheduled job feeding the building energy dataset.,63157,63965
evaltask_000338,Fix the failing building energy dataset job without taking the pipeline offline.,74949,75874
evaltask_000339,Download and consolidate external data sources for the credit bureau dataset.,74842,76041
evaltask_000340,Deduplicate the credit bureau dataset and then standardise the income-to-debt ratio column formats.,75266,75583
evaltask_000341,"There's something odd in the credit bureau dataset, can't put my finger on it.",76584,78240
