task_id,project_id,domain,category,context_group,estimated_duration,priority,priority_level,variation_level,dependencies,template_source
evaltask_000103,evalproj_00011,supply_chain_optimisation,model_training,modelling,231,low,1,multi_step,evaltask_000102,ood
evaltask_000104,evalproj_00011,supply_chain_optimisation,model_evaluation,modelling,115,high,3,standard,evaltask_000103,repo
evaltask_000105,evalproj_00011,supply_chain_optimisation,reporting_documentation,reporting,136,low,1,multi_step,evaltask_000104,repo
evaltask_000106,evalproj_00011,supply_chain_optimisation,data_pipeline_maintenance,infrastructure,22,medium,2,standard,,repo
evaltask_000107,evalproj_00011,supply_chain_optimisation,data_pipeline_maintenance,infrastructure,66,medium,2,standard,,repo
evaltask_000108,evalproj_00011,supply_chain_optimisation,data_pipeline_maintenance,infrastructure,64,low,1,multi_step,,ood
evaltask_000109,evalproj_00012,sentiment_analysis,data_collection,data_preparation,109,low,1,standard,,ood
evaltask_000110,evalproj_00012,sentiment_analysis,data_cleaning,data_preparation,88,medium,2,negation,evaltask_000109,repo
evaltask_000111,evalproj_00012,sentiment_analysis,exploratory_data_analysis,analysis,211,high,3,ambiguous,evaltask_000110,ood
evaltask_000112,evalproj_00012,sentiment_analysis,feature_engineering,analysis,89,low,1,negation,evaltask_000111,ood
evaltask_000113,evalproj_00012,sentiment_analysis,model_training,modelling,291,medium,2,standard,evaltask_000112,repo
evaltask_000114,evalproj_00012,sentiment_analysis,model_evaluation,modelling,158,medium,2,standard,evaltask_000113,repo
evaltask_000115,evalproj_00012,sentiment_analysis,reporting_documentation,reporting,107,medium,2,ambiguous,evaltask_000114,repo
evaltask_000116,evalproj_00012,sentiment_analysis,data_pipeline_maintenance,infrastructure,61,medium,2,negation,,repo
evaltask_000117,evalproj_00012,sentiment_analysis,data_pipeline_maintenance,infrastructure,16,medium,2,ambiguous,,repo
evaltask_000118,evalproj_00013,credit_scoring,data_collection,data_preparation,179,medium,2,standard,,repo
evaltask_000119,evalproj_00013,credit_scoring,data_cleaning,data_preparation,74,medium,2,standard,evaltask_000118,ood
evaltask_000120,evalproj_00013,credit_scoring,exploratory_data_analysis,analysis,65,medium,2,standard,evaltask_000119,repo
evaltask_000121,evalproj_00013,credit_scoring,feature_engineering,analysis,234,medium,2,standard,evaltask_000120,repo
evaltask_000122,evalproj_00013,credit_scoring,model_training,modelling,237,medium,2,ambiguous,evaltask_000121,repo
evaltask_000123,evalproj_00013,credit_scoring,model_evaluation,modelling,35,low,1,negation,evaltask_000122,repo
evaltask_000124,evalproj_00013,credit_scoring,reporting_documentation,reporting,51,medium,2,ambiguous,evaltask_000123,repo
evaltask_000125,evalproj_00013,credit_scoring,data_pipeline_maintenance,infrastructure,95,high,3,standard,,repo
evaltask_000126,evalproj_00014,network_intrusion_detection,data_collection,data_preparation,127,low,1,negation,,ood
evaltask_000127,evalproj_00014,network_intrusion_detection,data_cleaning,data_preparation,142,low,1,standard,evaltask_000126,repo
evaltask_000128,evalproj_00014,network_intrusion_detection,exploratory_data_analysis,analysis,203,low,1,standard,evaltask_000127,ood
evaltask_000129,evalproj_00014,network_intrusion_detection,feature_engineering,analysis,101,low,1,negation,evaltask_000128,ood
evaltask_000130,evalproj_00014,network_intrusion_detection,model_training,modelling,169,low,1,negation,evaltask_000129,repo
evaltask_000131,evalproj_00014,network_intrusion_detection,model_evaluation,modelling,169,medium,2,standard,evaltask_000130,ood
evaltask_000132,evalproj_00014,network_intrusion_detection,model_training,modelling,201,medium,2,negation,evaltask_000131,repo
evaltask_000133,evalproj_00014,network_intrusion_detection,model_evaluation,modelling,132,high,3,multi_step,evaltask_000132,repo
evaltask_000134,evalproj_00014,network_intrusion_detection,model_training,modelling,240,low,1,multi_step,evaltask_000133,ood
evaltask_000135,evalproj_00014,network_intrusion_detection,model_evaluation,modelling,146,high,3,standard,evaltask_000134,repo
evaltask_000136,evalproj_00014,network_intrusion_detection,reporting_documentation,reporting,38,low,1,multi_step,evaltask_000135,repo
evaltask_000137,evalproj_00014,network_intrusion_detection,data_pipeline_maintenance,infrastructure,87,high,3,multi_step,,ood
evaltask_000138,evalproj_00015,customer_churn,data_collection,data_preparation,115,low,1,multi_step,,repo
evaltask_000139,evalproj_00015,customer_churn,data_cleaning,data_preparation,30,high,3,standard,evaltask_000138,ood
evaltask_000140,evalproj_00015,customer_churn,exploratory_data_analysis,analysis,158,low,1,standard,evaltask_000139,ood
evaltask_000141,evalproj_00015,customer_churn,model_training,modelling,190,medium,2,standard,evaltask_000140,ood
evaltask_000142,evalproj_00015,customer_churn,model_evaluation,modelling,100,medium,2,ambiguous,evaltask_000141,ood
evaltask_000143,evalproj_00015,customer_churn,model_training,modelling,280,high,3,standard,evaltask_000142,ood
evaltask_000144,evalproj_00015,customer_churn,model_evaluation,modelling,157,medium,2,standard,evaltask_000143,repo
evaltask_000145,evalproj_00015,customer_churn,reporting_documentation,reporting,63,low,1,standard,evaltask_000144,repo
evaltask_000146,evalproj_00015,customer_churn,data_pipeline_maintenance,infrastructure,86,medium,2,standard,,repo
evaltask_000147,evalproj_00015,customer_churn,data_pipeline_maintenance,infrastructure,80,medium,2,ambiguous,,repo
evaltask_000148,evalproj_00016,predictive_maintenance,data_collection,data_preparation,135,low,1,ambiguous,,repo
evaltask_000149,evalproj_00016,predictive_maintenance,data_cleaning,data_preparation,136,medium,2,multi_step,evaltask_000148,ood
evaltask_000150,evalproj_00016,predictive_maintenance,exploratory_data_analysis,analysis,198,low,1,multi_step,evaltask_000149,repo
evaltask_000151,evalproj_00016,predictive_maintenance,feature_engineering,analysis,217,low,1,multi_step,evaltask_000150,repo
evaltask_000152,evalproj_00016,predictive_maintenance,model_training,modelling,68,high,3,multi_step,evaltask_000151,ood
evaltask_000153,evalproj_00016,predictive_maintenance,model_evaluation,modelling,89,low,1,standard,evaltask_000152,repo
evaltask_000154,evalproj_00016,predictive_maintenance,reporting_documentation,reporting,95,medium,2,ambiguous,evaltask_000153,repo
evaltask_000155,evalproj_00016,predictive_maintenance,data_pipeline_maintenance,infrastructure,78,medium,2,negation,,repo
evaltask_000156,evalproj_00017,text_summarisation,data_collection,data_preparation,103,low,1,standard,,repo
evaltask_000157,evalproj_00017,text_summarisation,data_cleaning,data_preparation,166,low,1,standard,evaltask_000156,ood
evaltask_000158,evalproj_00017,text_summarisation,exploratory_data_analysis,analysis,57,high,3,multi_step,evaltask_000157,repo
evaltask_000159,evalproj_00017,text_summarisation,feature_engineering,analysis,291,high,3,standard,evaltask_000158,repo
evaltask_000160,evalproj_00017,text_summarisation,model_training,modelling,175,medium,2,negation,evaltask_000159,repo
evaltask_000161,evalproj_00017,text_summarisation,model_evaluation,modelling,81,low,1,ambiguous,evaltask_000160,repo
evaltask_000162,evalproj_00017,text_summarisation,reporting_documentation,reporting,134,low,1,negation,evaltask_000161,repo
evaltask_000163,evalproj_00018,energy_consumption,data_collection,data_preparation,119,medium,2,negation,,repo
evaltask_000164,evalproj_00018,energy_consumption,data_cleaning,data_preparation,204,medium,2,ambiguous,evaltask_000163,repo
evaltask_000165,evalproj_00018,energy_consumption,exploratory_data_analysis,analysis,55,low,1,ambiguous,evaltask_000164,repo
evaltask_000166,evalproj_00018,energy_consumption,model_training,modelling,295,high,3,ambiguous,evaltask_000165,repo
evaltask_000167,evalproj_00018,energy_consumption,model_evaluation,modelling,118,medium,2,negation,evaltask_000166,repo
evaltask_000168,evalproj_00018,energy_consumption,model_training,modelling,81,high,3,multi_step,evaltask_000167,ood
evaltask_000169,evalproj_00018,energy_consumption,model_evaluation,modelling,32,medium,2,standard,evaltask_000168,repo
evaltask_000170,evalproj_00018,energy_consumption,reporting_documentation,reporting,76,medium,2,standard,evaltask_000169,repo
evaltask_000171,evalproj_00018,energy_consumption,data_pipeline_maintenance,infrastructure,111,medium,2,standard,,repo
evaltask_000172,evalproj_00018,energy_consumption,data_pipeline_maintenance,infrastructure,21,low,1,multi_step,,repo
evaltask_000173,evalproj_00019,recommendation_system,data_collection,data_preparation,114,medium,2,negation,,ood
evaltask_000174,evalproj_00019,recommendation_system,data_cleaning,data_preparation,156,high,3,standard,evaltask_000173,ood
evaltask_000175,evalproj_00019,recommendation_system,exploratory_data_analysis,analysis,216,low,1,multi_step,evaltask_000174,repo
evaltask_000176,evalproj_00019,recommendation_system,model_training,modelling,355,medium,2,ambiguous,evaltask_000175,repo
evaltask_000177,evalproj_00019,recommendation_system,model_evaluation,modelling,174,medium,2,standard,evaltask_000176,repo
evaltask_000178,evalproj_00019,recommendation_system,reporting_documentation,reporting,124,medium,2,ambiguous,evaltask_000177,repo
evaltask_000179,evalproj_00019,recommendation_system,data_pipeline_maintenance,infrastructure,97,medium,2,standard,,repo
evaltask_000180,evalproj_00019,recommendation_system,data_pipeline_maintenance,infrastructure,100,medium,2,standard,,repo
evaltask_000181,evalproj_00019,recommendation_system,data_pipeline_maintenance,infrastructure,111,high,3,negation,,repo
evaltask_000182,evalproj_00020,predictive_maintenance,data_collection,data_preparation,77,medium,2,negation,,ood
evaltask_000183,evalproj_00020,predictive_maintenance,data_cleaning,data_preparation,44,medium,2,standard,evaltask_000182,repo
evaltask_000184,evalproj_00020,predictive_maintenance,exploratory_data_analysis,analysis,221,low,1,ambiguous,evaltask_000183,ood
evaltask_000185,evalproj_00020,predictive_maintenance,model_training,modelling,321,medium,2,negation,evaltask_000184,repo
evaltask_000186,evalproj_00020,predictive_maintenance,model_evaluation,modelling,66,low,1,standard,evaltask_000185,repo
evaltask_000187,evalproj_00020,predictive_maintenance,reporting_documentation,reporting,65,low,1,ambiguous,evaltask_000186,repo
evaltask_000188,evalproj_00020,predictive_maintenance,data_pipeline_maintenance,infrastructure,29,low,1,standard,,repo
evaltask_000189,evalproj_00020,predictive_maintenance,data_pipeline_maintenance,infrastructure,36,low,1,multi_step,,repo
evaltask_000190,evalproj_00021,energy_consumption,data_collection,data_preparation,129,low,1,ambiguous,,repo
evaltask_000191,evalproj_00021,energy_consumption,data_cleaning,data_preparation,138,high,3,standard,evaltask_000190,repo
evaltask_000192,evalproj_00021,energy_consumption,exploratory_data_analysis,analysis,182,medium,2,multi_step,evaltask_000191,repo
evaltask_000193,evalproj_00021,energy_consumption,model_training,modelling,144,medium,2,ambiguous,evaltask_000192,repo
evaltask_000194,evalproj_00021,energy_consumption,model_evaluation,modelling,169,high,3,standard,evaltask_000193,repo
evaltask_000195,evalproj_00021,energy_consumption,model_training,modelling,272,high,3,standard,evaltask_000194,repo
evaltask_000196,evalproj_00021,energy_consumption,model_evaluation,modelling,134,medium,2,ambiguous,evaltask_000195,repo
evaltask_000197,evalproj_00021,energy_consumption,reporting_documentation,reporting,110,low,1,ambiguous,evaltask_000196,repo
evaltask_000198,evalproj_00021,energy_consumption,data_pipeline_maintenance,infrastructure,118,low,1,standard,,repo
evaltask_000199,evalproj_00021,energy_consumption,data_pipeline_maintenance,infrastructure,47,high,3,ambiguous,,repo
evaltask_000200,evalproj_00021,energy_consumption,data_pipeline_maintenance,infrastructure,47,medium,2,standard,,repo
evaltask_000201,evalproj_00022,employee_attrition,data_collection,data_preparation,123,medium,2,standard,,ood
evaltask_000202,evalproj_00022,employee_attrition,data_cleaning,data_preparation,230,medium,2,negation,evaltask_000201,repo
evaltask_000203,evalproj_00022,employee_attrition,feature_engineering,analysis,156,high,3,negation,evaltask_000202,ood
evaltask_000204,evalproj_00022,employee_attrition,model_training,modelling,128,high,3,multi_step,evaltask_000203,repo
evaltask_000205,evalproj_00022,employee_attrition,model_evaluation,modelling,132,medium,2,standard,evaltask_000204,ood
evaltask_000206,evalproj_00022,employee_attrition,model_training,modelling,342,high,3,multi_step,evaltask_000205,ood
evaltask_000207,evalproj_00022,employee_attrition,model_evaluation,modelling,120,low,1,multi_step,evaltask_000206,repo
evaltask_000208,evalproj_00022,employee_attrition,reporting_documentation,reporting,179,low,1,standard,evaltask_000207,repo
evaltask_000209,evalproj_00022,employee_attrition,data_pipeline_maintenance,infrastructure,43,medium,2,multi_step,,repo
evaltask_000210,evalproj_00022,employee_attrition,data_pipeline_maintenance,infrastructure,50,medium,2,standard,,repo
evaltask_000211,evalproj_00022,employee_attrition,data_pipeline_maintenance,infrastructure,79,medium,2,negation,,repo
evaltask_000212,evalproj_00023,employee_attrition,data_collection,data_preparation,61,low,1,standard,,ood
evaltask_000213,evalproj_00023,employee_attrition,data_cleaning,data_preparation,88,medium,2,ambiguous,evaltask_000212,repo
evaltask_000214,evalproj_00023,employee_attrition,exploratory_data_analysis,analysis,163,low,1,ambiguous,evaltask_000213,repo
evaltask_000215,evalproj_00023,employee_attrition,feature_engineering,analysis,109,high,3,negation,evaltask_000214,ood
evaltask_000216,evalproj_00023,employee_attrition,model_training,modelling,106,high,3,standard,evaltask_000215,ood
evaltask_000217,evalproj_00023,employee_attrition,model_evaluation,modelling,94,medium,2,multi_step,evaltask_000216,repo
evaltask_000218,evalproj_00023,employee_attrition,model_training,modelling,69,high,3,standard,evaltask_000217,ood
evaltask_000219,evalproj_00023,employee_attrition,model_evaluation,modelling,36,high,3,negation,evaltask_000218,repo
evaltask_000220,evalproj_00023,employee_attrition,reporting_documentation,reporting,168,low,1,multi_step,evaltask_000219,repo
evaltask_000221,evalproj_00023,employee_attrition,data_pipeline_maintenance,infrastructure,108,low,1,multi_step,,ood
evaltask_000222,evalproj_00023,employee_attrition,data_pipeline_maintenance,infrastructure,72,medium,2,negation,,repo
evaltask_000223,evalproj_00023,employee_attrition,data_pipeline_maintenance,infrastructure,21,medium,2,ambiguous,,repo
evaltask_000224,evalproj_00024,energy_consumption,data_collection,data_preparation,147,low,1,standard,,ood
evaltask_000225,evalproj_00024,energy_consumption,data_cleaning,data_preparation,144,medium,2,ambiguous,evaltask_000224,repo
evaltask_000226,evalproj_00024,energy_consumption,exploratory_data_analysis,analysis,45,high,3,standard,evaltask_000225,repo
evaltask_000227,evalproj_00024,energy_consumption,feature_engineering,analysis,153,medium,2,negation,evaltask_000226,ood
evaltask_000228,evalproj_00024,energy_consumption,model_training,modelling,185,medium,2,ambiguous,evaltask_000227,repo
evaltask_000229,evalproj_00024,energy_consumption,model_evaluation,modelling,34,high,3,multi_step,evaltask_000228,repo
evaltask_000230,evalproj_00024,energy_consumption,reporting_documentation,reporting,116,high,3,standard,evaltask_000229,ood
evaltask_000231,evalproj_00024,energy_consumption,data_pipeline_maintenance,infrastructure,101,high,3,standard,,repo
evaltask_000232,evalproj_00024,energy_consumption,data_pipeline_maintenance,infrastructure,67,low,1,standard,,ood
evaltask_000233,evalproj_00025,energy_consumption,data_collection,data_preparation,41,medium,2,negation,,repo
evaltask_000234,evalproj_00025,energy_consumption,data_cleaning,data_preparation,68,high,3,standard,evaltask_000233,repo
evaltask_000235,evalproj_00025,energy_consumption,exploratory_data_analysis,analysis,104,medium,2,multi_step,evaltask_000234,repo
evaltask_000236,evalproj_00025,energy_consumption,feature_engineering,analysis,177,medium,2,negation,evaltask_000235,ood
evaltask_000237,evalproj_00025,energy_consumption,model_training,modelling,228,medium,2,multi_step,evaltask_000236,repo
evaltask_000238,evalproj_00025,energy_consumption,model_evaluation,modelling,86,low,1,ambiguous,evaltask_000237,repo
evaltask_000239,evalproj_00025,energy_consumption,model_training,modelling,223,medium,2,standard,evaltask_000238,repo
evaltask_000240,evalproj_00025,energy_consumption,model_evaluation,modelling,93,low,1,standard,evaltask_000239,ood
evaltask_000241,evalproj_00025,energy_consumption,model_training,modelling,187,medium,2,standard,evaltask_000240,repo
evaltask_000242,evalproj_00025,energy_consumption,model_evaluation,modelling,156,low,1,multi_step,evaltask_000241,repo
evaltask_000243,evalproj_00025,energy_consumption,reporting_documentation,reporting,39,medium,2,ambiguous,evaltask_000242,repo
evaltask_000244,evalproj_00026,healthcare_readmission,data_collection,data_preparation,141,low,1,negation,,repo
evaltask_000245,evalproj_00026,healthcare_readmission,data_cleaning,data_preparation,202,medium,2,standard,evaltask_000244,repo
evaltask_000246,evalproj_00026,healthcare_readmission,exploratory_data_analysis,analysis,63,medium,2,ambiguous,evaltask_000245,ood
evaltask_000247,evalproj_00026,healthcare_readmission,feature_engineering,analysis,119,high,3,ambiguous,evaltask_000246,repo
evaltask_000248,evalproj_00026,healthcare_readmission,model_training,modelling,230,low,1,standard,evaltask_000247,repo
